#size	time	tpfs	PAPI1	PAPI2	PAPI3
1	0	1	58	187	94	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
2	0	3	201	271	153	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
4	0	5	808	284	159	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
8	0	5	2428	378	191	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
16	0	6	5737	338	222	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
32	0	5	12286	330	195	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
64	0	7	25279	406	237	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
128	0	9	51314	506	285	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
256	0	11	103434	747	343	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
512	0	17	207636	1357	568	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
1024	1	29	416153	2417	1100	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
2048	2	53	833118	3829	1455	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
4096	4	102	1666802	8286	3261	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
8192	8	198	3334317	14738	4974	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
16384	17	390	6669462	30982	12256	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
32768	32	775	13339692	57642	19778	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
65536	66	1543	26680265	116167	38894	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
131072	135	3083	53361342	234029	80636	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
262144	263	6158	106723391	460099	158264	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
524288	512	0	213447538	878812	317276	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
1048576	1037	24617	426895882	1826194	620490	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
2097152	2061	0	853792532	3522594	1280801	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
4194304	4084	0	1707585945	7049079	2581207	
