#size	time	tpfs	PAPI1	PAPI2	PAPI3
1	0	0	58	38	13	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
2	0	0	201	81	48	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
4	0	0	910	101	68	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
8	0	0	2870	149	108	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
16	0	0	6593	220	173	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
32	0	0	13552	347	287	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
64	0	0	28292	601	481	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
128	0	0	55425	1155	922	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
256	0	0	111609	2371	1724	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
512	0	0	223435	5085	3165	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
1024	1	0	439144	10467	5987	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
2048	2	0	839802	21394	13076	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
4096	5	0	1594284	44474	29978	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
8192	10	0	3096465	93920	70586	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
16384	21	0	6391659	211226	172898	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
32768	47	0	13581752	466736	406432	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
65536	98	0	27794004	970328	866907	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
131072	201	0	55528890	1965959	1773646	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
262144	402	0	109228675	3883738	3523259	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
524288	813	0	214885114	7497914	6819690	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
1048576	1645	0	431376649	14937580	13524568	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
2097152	3371	0	869285943	30179964	27402684	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
4194304	6851	0	1728775246	59905455	54612376	
