#size	time	tpfs	PAPI1	PAPI2	PAPI3
1	0	0	58	35	12	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
2	0	0	201	74	46	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
4	0	0	808	85	55	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
8	0	0	2428	102	65	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
16	0	0	5737	116	77	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
32	0	0	12286	142	89	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
64	0	0	25279	189	100	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
128	0	0	51314	296	153	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
256	0	0	103434	506	225	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
512	0	0	207636	908	435	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
1024	1	0	416153	1737	701	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
2048	2	0	833118	3381	1388	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
4096	4	0	1666802	6616	2388	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
8192	8	0	3334317	13152	4413	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
16384	17	0	6669462	26074	8558	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
32768	34	0	13339692	52124	16764	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
65536	69	0	26680265	103972	33235	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
131072	142	0	53361342	207751	65912	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
262144	278	0	106723391	415421	131068	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
524288	564	0	213447538	835022	266124	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
1048576	1121	0	426895882	1661393	523872	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
2097152	2267	0	853792532	3323343	1047256	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
4194304	4507	0	1707585945	6643416	2097313	
